sep=;
N;R;Theta;Z;|U|
119;19.2857;-50.0000;0.0000;8.161248371e-04
120;19.2857;-45.0000;0.0000;8.656119522e-04
121;19.2857;-40.0000;0.0000;9.264558019e-04
122;19.2857;-35.0000;0.0000;9.928197849e-04
123;19.2857;-30.0000;0.0000;1.060134894e-03
124;19.2857;-25.0000;0.0000;1.124939912e-03
125;19.2857;-20.0000;0.0000;1.183533183e-03
126;19.2857;-15.0000;0.0000;1.230603970e-03
127;19.2857;-10.0000;0.0000;1.270417293e-03
128;19.2857;-5.0000;0.0000;1.289997274e-03
129;19.2857;0.0000;0.0000;1.304492881e-03
130;19.2857;5.0000;0.0000;1.290222954e-03
131;19.2857;10.0000;0.0000;1.270793458e-03
132;19.2857;15.0000;0.0000;1.231136844e-03
133;19.2857;20.0000;0.0000;1.184130179e-03
134;19.2857;25.0000;0.0000;1.125445374e-03
135;19.2857;30.0000;0.0000;1.060875459e-03
136;19.2857;35.0000;0.0000;9.938312575e-04
137;19.2857;40.0000;0.0000;9.275112501e-04
138;19.2857;45.0000;0.0000;8.666606119e-04
139;19.2857;50.0000;0.0000;8.168793962e-04
140;19.2857;55.0000;0.0000;7.783457895e-04
141;19.2857;60.0000;0.0000;7.535692341e-04
142;19.2857;65.0000;0.0000;7.394993502e-04
143;19.2857;70.0000;0.0000;7.323503967e-04
144;19.2857;75.0000;0.0000;7.258711949e-04
145;19.2857;80.0000;0.0000;7.217814972e-04
146;19.2857;85.0000;0.0000;7.061956668e-04
147;19.2857;90.0000;0.0000;6.889898964e-04
148;20.7143;-90.0000;0.0000;6.903015499e-04
149;20.7143;-85.0000;0.0000;7.027571683e-04
150;20.7143;-80.0000;0.0000;7.121687968e-04
151;20.7143;-75.0000;0.0000;7.095750093e-04
152;20.7143;-70.0000;0.0000;7.079832528e-04
153;20.7143;-65.0000;0.0000;7.107721964e-04
154;20.7143;-60.0000;0.0000;7.176114186e-04
155;20.7143;-55.0000;0.0000;7.421184712e-04
156;20.7143;-50.0000;0.0000;7.767055743e-04
157;20.7143;-45.0000;0.0000;8.318747733e-04
158;20.7143;-40.0000;0.0000;8.980053167e-04
159;20.7143;-35.0000;0.0000;9.697098924e-04
160;20.7143;-30.0000;0.0000;1.043200030e-03
161;20.7143;-25.0000;0.0000;1.114120589e-03
162;20.7143;-20.0000;0.0000;1.175882763e-03
163;20.7143;-15.0000;0.0000;1.228010876e-03
164;20.7143;-10.0000;0.0000;1.268398293e-03
165;20.7143;-5.0000;0.0000;1.289851309e-03
166;20.7143;0.0000;0.0000;1.303541920e-03
167;20.7143;5.0000;0.0000;1.289831048e-03
168;20.7143;10.0000;0.0000;1.268505296e-03
169;20.7143;15.0000;0.0000;1.228116205e-03
170;20.7143;20.0000;0.0000;1.176389385e-03
171;20.7143;25.0000;0.0000;1.114724675e-03
172;20.7143;30.0000;0.0000;1.044281204e-03
173;20.7143;35.0000;0.0000;9.709623384e-04
174;20.7143;40.0000;0.0000;8.992712588e-04
175;20.7143;45.0000;0.0000;8.330579904e-04
176;20.7143;50.0000;0.0000;7.776210613e-04
177;20.7143;55.0000;0.0000;7.429400063e-04
178;20.7143;60.0000;0.0000;7.182157039e-04
179;20.7143;65.0000;0.0000;7.109121384e-04
180;20.7143;70.0000;0.0000;7.080437264e-04
181;20.7143;75.0000;0.0000;7.095240028e-04
182;20.7143;80.0000;0.0000;7.114955424e-04
183;20.7143;85.0000;0.0000;7.020009289e-04
184;20.7143;90.0000;0.0000;6.895986043e-04
185;22.1429;-90.0000;0.0000;6.896279875e-04
186;22.1429;-85.0000;0.0000;7.001213490e-04
187;22.1429;-80.0000;0.0000;7.029472309e-04
188;22.1429;-75.0000;0.0000;6.960777647e-04
189;22.1429;-70.0000;0.0000;6.867472761e-04
190;22.1429;-65.0000;0.0000;6.806941704e-04
191;22.1429;-60.0000;0.0000;6.833375237e-04
192;22.1429;-55.0000;0.0000;7.024837029e-04
193;22.1429;-50.0000;0.0000;7.395174221e-04
